output_file,content_file,style_file,part,model_name,temperature,content_score,time_pitch_diff,onset.duration,onset.velocity,onset.drum_drums
Zilo.Verse-Alternative Hip Hop #2 in G#m.mapped.Verse.DV_T025.mid,Zilo.Verse.mid,Alternative Hip Hop #2 in G#m.mapped.Verse.mid,Verse,Drums and Velocity,0.25,0.34778456952839065,0.41312091097352144,0.08076051376245907,0.4038357259060621,
Zilo.Verse-Synthwave #2 in Gm.mapped.Verse.DV_T025.mid,Zilo.Verse.mid,Synthwave #2 in Gm.mapped.Verse.mid,Verse,Drums and Velocity,0.25,0.39899272373804884,0.5291942481441507,0.2756053298256955,0.38068528544421354,0.0
Zilo.Verse-Synthwave #5 in Am.mapped.Verse.DV_T025.mid,Zilo.Verse.mid,Synthwave #5 in Am.mapped.Verse.mid,Verse,Drums and Velocity,0.25,0.3129430673997427,0.5172911246774548,0.8951149132058944,0.35364109971349644,0.4915911661539477
Zilo.Verse-Synthwave #3 in Bb.mapped.Verse.DV_T025.mid,Zilo.Verse.mid,Synthwave #3 in Bb.mapped.Verse.mid,Verse,Drums and Velocity,0.25,0.34857829431570586,0.6417207800697993,0.931251928592646,0.24629979858513174,0.0
Zilo.Verse-Synthwave #6 in A.mapped.Verse.DV_T025.mid,Zilo.Verse.mid,Synthwave #6 in A.mapped.Verse.mid,Verse,Drums and Velocity,0.25,0.43018968141274155,0.7668335099680459,0.743589205678324,0.38993643715249493,
Zilo.Verse-Synthwave #3 in Bb.mapped.Verse.DV_T04.mid,Zilo.Verse.mid,Synthwave #3 in Bb.mapped.Verse.mid,Verse,Drums and Velocity,0.4,0.3318940975924493,0.6440686973073168,0.9372847360881512,0.3448409436956196,0.12852799213831423
Zilo.Verse-Synthwave #4 in Bb.mapped.Verse.DV_T04.mid,Zilo.Verse.mid,Synthwave #4 in Bb.mapped.Verse.mid,Verse,Drums and Velocity,0.4,0.39367020942723807,0.6585881954897113,0.6270209166840659,0.4321850819593229,0.0
Zilo.Verse-Synthwave #6 in A.mapped.Verse.DV_T04.mid,Zilo.Verse.mid,Synthwave #6 in A.mapped.Verse.mid,Verse,Drums and Velocity,0.4,0.4498486545520442,0.7550035881883992,0.6909046195175649,0.6297602503960988,
Zilo.Verse-Synthwave #5 in Am.mapped.Verse.DV_T04.mid,Zilo.Verse.mid,Synthwave #5 in Am.mapped.Verse.mid,Verse,Drums and Velocity,0.4,0.3596312094987087,0.5387498957043894,0.8789752076990163,0.3643972207492219,0.1569343436759696
Zilo.Verse-Teen Pop #4 in Bb.mapped.Verse.DV_T04.mid,Zilo.Verse.mid,Teen Pop #4 in Bb.mapped.Verse.mid,Verse,Drums and Velocity,0.4,0.3159990933980503,0.8306299232038025,0.8246490133398631,0.8182336652294268,0.15227739752537628
Zilo.Verse-Alternative Hip Hop #2 in G#m.mapped.Verse.DV_T04.mid,Zilo.Verse.mid,Alternative Hip Hop #2 in G#m.mapped.Verse.mid,Verse,Drums and Velocity,0.4,0.48013353022533584,0.30901279002946014,0.04356891473646207,0.25883681262124236,
Zilo.Verse-Synthwave #2 in Gm.mapped.Verse.DV_T04.mid,Zilo.Verse.mid,Synthwave #2 in Gm.mapped.Verse.mid,Verse,Drums and Velocity,0.4,0.39327751203315353,0.5747479303448045,0.3852240479966702,0.3440877075755767,0.13943875404554684
Zilo.Verse-Teen Pop #4 in Bb.mapped.Verse.D_T09.mid,Zilo.Verse.mid,Teen Pop #4 in Bb.mapped.Verse.mid,Verse,Drums,0.9,0.4240488561352763,0.929004286736959,0.9700502196818738,0.6498187772341676,0.43806286122556237
Zilo.Verse-Synthwave #3 in Bb.mapped.Verse.D_T09.mid,Zilo.Verse.mid,Synthwave #3 in Bb.mapped.Verse.mid,Verse,Drums,0.9,0.3894406370905018,0.6203870916810642,0.8995909300554598,0.8199225445030172,0.49705359838851915
Zilo.Verse-Synthwave #2 in Gm.mapped.Verse.D_T09.mid,Zilo.Verse.mid,Synthwave #2 in Gm.mapped.Verse.mid,Verse,Drums,0.9,0.4006369084183874,0.6112552676229068,0.5751695549195357,0.6153376052465153,0.1737488971052279
Zilo.Verse-Synthwave #4 in Bb.mapped.Verse.D_T09.mid,Zilo.Verse.mid,Synthwave #4 in Bb.mapped.Verse.mid,Verse,Drums,0.9,0.3933452117245904,0.6579779490320873,0.6938101632719835,0.781483717707503,
