output_file,content_file,style_file,part,model_name,temperature,content_score,time_pitch_diff,onset.duration,onset.velocity,onset.drum_drums
17 Rock - Pop #3 in Bb.Chorus_no_drum.X.17 Rock - Pop #3 in Bb.Chorus_no_drum.D_T001.mid,17 Rock - Pop #3 in Bb.Chorus_no_drum.mid,17 Rock - Pop #3 in Bb.Chorus_no_drum.mid,Chorus_no_drum,Drums,0.01,0.9113827187997026,0.8551840630551844,0.6322977430604783,0.35964944608488647,
17 Rock - Pop #3 in Bb.PreChorus_no_drum.X.17 Rock - Pop #3 in Bb.PreChorus_no_drum.D_T001.mid,17 Rock - Pop #3 in Bb.PreChorus_no_drum.mid,17 Rock - Pop #3 in Bb.PreChorus_no_drum.mid,PreChorus_no_drum,Drums,0.01,0.9035804586918083,0.752594252502845,0.5809124982242234,0.18296029674089076,
17 Rock - Pop #3 in Bb.Verse_no_drum.X.17 Rock - Pop #3 in Bb.Verse_no_drum.D_T001.mid,17 Rock - Pop #3 in Bb.Verse_no_drum.mid,17 Rock - Pop #3 in Bb.Verse_no_drum.mid,Verse_no_drum,Drums,0.01,0.9123780048360727,0.8475799598940803,0.7224963158070732,0.604398216903495,
18 Reggae 2 In Bm.Chorus_no_drum.X.18 Reggae 2 In Bm.Chorus_no_drum.D_T001.mid,18 Reggae 2 In Bm.Chorus_no_drum.mid,18 Reggae 2 In Bm.Chorus_no_drum.mid,Chorus_no_drum,Drums,0.01,0.7144868232549558,0.7362702056661682,0.911651680376155,,
18 Reggae 2 In Bm.PreChorus_no_drum.X.18 Reggae 2 In Bm.PreChorus_no_drum.D_T001.mid,18 Reggae 2 In Bm.PreChorus_no_drum.mid,18 Reggae 2 In Bm.PreChorus_no_drum.mid,PreChorus_no_drum,Drums,0.01,0.9408056814582305,0.8836423846958363,0.8790953229099078,0.8492302708807148,
18 Reggae 2 In Bm.Verse_no_drum.X.18 Reggae 2 In Bm.Verse_no_drum.D_T001.mid,18 Reggae 2 In Bm.Verse_no_drum.mid,18 Reggae 2 In Bm.Verse_no_drum.mid,Verse_no_drum,Drums,0.01,0.9075426279313502,0.8749137650752444,0.9164121430836216,,
19 Teen Pop 1 In G.Chorus_no_drum.X.19 Teen Pop 1 In G.Chorus_no_drum.D_T001.mid,19 Teen Pop 1 In G.Chorus_no_drum.mid,19 Teen Pop 1 In G.Chorus_no_drum.mid,Chorus_no_drum,Drums,0.01,0.7745264950116505,0.8538175801105681,0.9944755003596785,0.9942049539281803,
19 Teen Pop 1 In G.PreChorus_no_drum.X.19 Teen Pop 1 In G.PreChorus_no_drum.D_T001.mid,19 Teen Pop 1 In G.PreChorus_no_drum.mid,19 Teen Pop 1 In G.PreChorus_no_drum.mid,PreChorus_no_drum,Drums,0.01,0.9956305374505907,0.9325569183696268,0.5103103630798288,0.8703882797784892,
19 Teen Pop 1 In G.Verse_no_drum.X.19 Teen Pop 1 In G.Verse_no_drum.D_T001.mid,19 Teen Pop 1 In G.Verse_no_drum.mid,19 Teen Pop 1 In G.Verse_no_drum.mid,Verse_no_drum,Drums,0.01,0.8848528137423857,0.9410315807088969,1.0,1.0,
20 Modren Country #2 in G.Chorus_no_drum.X.20 Modren Country #2 in G.Chorus_no_drum.D_T001.mid,20 Modren Country #2 in G.Chorus_no_drum.mid,20 Modren Country #2 in G.Chorus_no_drum.mid,Chorus_no_drum,Drums,0.01,0.9229243888462689,0.7916523480854786,0.3478213656152852,0.645339116226471,
